@relation compact_wind_onshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_onshore numeric

@data
20220107,2,-0.87,-1.298726,89.407643,6.051282,0.00828,0.082803,0,23505.512821,3.742308,189.551282,21356
20220107,3,-0.71,-1.265605,89.407643,6.711538,0.016561,0.133758,0,24140.064103,4.013462,188.397436,22565.75
20220107,4,-0.5,-1.255414,89.33758,6.955128,0.03121,0.171975,0,24171.794872,4.064516,191.677419,23058.75
20220107,5,-0.26,-1.130573,89.203822,7.153846,0.024841,0.229299,0,24302.371795,4.318065,191.290323,23838
20220107,6,-0,-0.976433,88.821656,7.333333,0.030573,0.305732,0,24385.320513,4.594839,191.483871,25755
20220107,7,0.26,-0.856688,88.808917,7.519231,0.034615,0.352564,0,24409.935897,4.801935,193.290323,26938
20220107,8,0.5,-0.603822,88.324841,7.679487,0.047436,0.416667,1.070513,25231.025641,4.909032,194.129032,27183.75
20220107,9,0.71,-0.26051,88.070064,7.538462,0.050641,0.480769,2.160256,23897.371795,5.158333,195.769231,26177.75
20220107,10,0.87,0.117197,87.707006,7.615385,0.064103,0.512821,3.262821,23579.615385,5.255769,197.884615,25194.5
20220107,11,0.97,0.458599,87.267516,7.50641,0.082166,0.528662,4.371795,24449.487179,5.295513,201.923077,24496
20220107,12,1,0.804459,86.509554,7.615385,0.063694,0.547771,5.185897,25764.358974,5.333974,205,23061.75
20220107,13,0.97,0.996815,86.611465,7.602564,0.066879,0.585987,4.224359,27052.051282,5.23141,207.115385,22142.5
20220107,14,0.87,1.084713,87,7.429487,0.046497,0.630573,1.929487,26485,5.134615,208.205128,20834.5
20220107,15,0.71,1.026115,88.070064,7.455128,0.055414,0.630573,1.051282,26123.461538,4.852564,208.076923,19305.75
20220107,16,0.5,0.93121,89.121019,7.333333,0.059236,0.656051,0.012821,23579.166667,4.698077,208.846154,19125.25
20220107,17,0.26,0.834395,90.089172,7.25,0.083439,0.66242,0,22835.128205,4.626282,208.012821,19460.5
20220107,18,0,0.809554,90.503185,7.346154,0.089809,0.694268,0,21581.794872,4.603846,208.717949,18984.25
20220107,19,-0.26,0.779618,90.828025,7.384615,0.081529,0.694268,0,23081.666667,4.55641,207.307692,18334.5
20220107,20,-0.5,0.758599,91.210191,7.461538,0.080892,0.573248,0,24389.615385,4.433974,208.076923,17932.5
20220107,21,-0.71,0.813376,90.859873,7.455128,0.064331,0.598726,0,25553.653846,4.471154,210.064103,17705.5
20220107,22,-0.87,0.788535,90.802548,7.25641,0.107643,0.573248,0,25887.371795,4.394231,208.397436,16502.25
